goos: linux
goarch: amd64
pkg: github.com/zchee/gows/bench
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkMaskGobwas/64B-20          	138786424	         8.651 ns/op	7397.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	139028443	         8.632 ns/op	7414.24 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	139155565	         8.632 ns/op	7413.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	138889230	         8.636 ns/op	7410.82 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	140183480	         8.571 ns/op	7466.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	139814053	         8.590 ns/op	7450.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	139217344	         8.595 ns/op	7446.22 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	140409644	         8.539 ns/op	7495.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/64B-20          	140773198	         8.529 ns/op	7503.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56671706	        21.11 ns/op	12128.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56882421	        21.10 ns/op	12133.08 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56446407	        21.11 ns/op	12128.44 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56802474	        21.10 ns/op	12134.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56848575	        21.10 ns/op	12135.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56833780	        21.10 ns/op	12132.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56721088	        21.11 ns/op	12129.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56848614	        21.10 ns/op	12133.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56835818	        21.10 ns/op	12133.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/256B-20         	56860455	        21.10 ns/op	12132.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16064493	        74.66 ns/op	13714.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16063740	        74.68 ns/op	13712.42 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16062422	        74.68 ns/op	13712.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16060096	        74.67 ns/op	13713.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16066252	        74.68 ns/op	13712.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16070538	        74.66 ns/op	13714.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16073302	        74.67 ns/op	13712.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16060830	        74.71 ns/op	13706.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16065236	        74.68 ns/op	13711.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/1KB-20          	16070239	        74.68 ns/op	13712.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4017810	       298.7 ns/op	13714.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4014279	       298.9 ns/op	13705.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4014666	       298.8 ns/op	13706.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4016383	       298.8 ns/op	13709.71 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4016703	       298.8 ns/op	13708.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4014742	       298.9 ns/op	13704.92 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4016444	       298.7 ns/op	13713.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4016413	       298.7 ns/op	13714.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4016900	       298.7 ns/op	13714.99 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/4KB-20          	 4018190	       298.6 ns/op	13715.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-20         	 1000000	      1157 ns/op	14165.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-20         	 1000000	      1158 ns/op	14152.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-20         	 1000000	      1157 ns/op	14165.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-20         	 1000000	      1157 ns/op	14164.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-20         	 1000000	      1157 ns/op	14164.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkMaskGobwas/16KB-20         	 1000000	      1157 ns/op	14165.69 MB/s	       0 B/op	       0 allocs/op
